country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Silchar,"Tarapur, Silchar - PCBA","12-04-2026 12:00:00",24.82827,92.79525,NO2,22,29,26
India,Assam,Silchar,"Tarapur, Silchar - PCBA","12-04-2026 12:00:00",24.82827,92.79525,OZONE,2,4,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","12-04-2026 12:00:00",26.146529,87.454184,PM2.5,68,344,130
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","12-04-2026 12:00:00",26.146529,87.454184,PM10,59,189,92
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","12-04-2026 12:00:00",25.697189,85.245900,CO,8,54,32
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","12-04-2026 12:00:00",25.697189,85.245900,OZONE,15,157,62
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","12-04-2026 12:00:00",25.560083,87.553265,NO2,9,10,9
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","12-04-2026 12:00:00",26.63086,84.90051,PM2.5,40,300,110
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","12-04-2026 12:00:00",26.80365,84.51954,CO,27,51,32
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","12-04-2026 12:00:00",25.251013,86.989001,PM10,26,113,77
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","12-04-2026 12:00:00",25.251013,86.989001,NO2,11,15,12
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","12-04-2026 12:00:00",25.251013,86.989001,SO2,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","12-04-2026 12:00:00",25.251013,86.989001,CO,34,55,42
India,Bihar,Munger,"Town Hall, Munger - BSPCB","12-04-2026 12:00:00",25.376776,86.471523,CO,26,32,28
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","12-04-2026 12:00:00",26.11442,85.39813,CO,15,50,39
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2026 12:00:00",25.586562,85.043586,PM10,103,464,237
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","12-04-2026 12:00:00",25.586562,85.043586,CO,27,86,40
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","12-04-2026 12:00:00",25.265194,87.012947,OZONE,8,24,11
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","12-04-2026 12:00:00",26.63086,84.90051,SO2,2,3,3
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","12-04-2026 12:00:00",21.185571,81.343175,NH3,3,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","12-04-2026 12:00:00",21.224231,81.408350,PM2.5,18,92,48
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","12-04-2026 12:00:00",22.08815,82.13737,PM2.5,33,100,69
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","12-04-2026 12:00:00",22.08815,82.13737,NO2,36,89,43
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-04-2026 12:00:00",22.368195,82.746431,NO2,10,40,25
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-04-2026 12:00:00",22.368195,82.746431,CO,8,36,25
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","12-04-2026 12:00:00",22.368195,82.746431,OZONE,2,14,9
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","12-04-2026 12:00:00",22.348441,82.549611,PM10,22,150,66
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","12-04-2026 12:00:00",30.735567,76.775714,NH3,10,21,17
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","12-04-2026 12:00:00",30.751462,76.762879,NH3,2,12,10
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","12-04-2026 12:00:00",30.719859,76.738637,CO,29,101,37
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","12-04-2026 12:00:00",21.194815,81.314770,PM2.5,22,61,41
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","12-04-2026 12:00:00",21.194815,81.314770,CO,10,67,37
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","12-04-2026 12:00:00",21.185571,81.343175,PM2.5,6,66,43
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","12-04-2026 12:00:00",25.03280,85.41948,OZONE,23,29,26
